close_date,Close
3/16/2015 16:00,28.51
3/17/2015 16:00,27.66
3/18/2015 16:00,28.16
3/19/2015 16:00,28.05
3/20/2015 16:00,28.68
3/23/2015 16:00,28.02
3/24/2015 16:00,27.96
3/25/2015 16:00,26.57
3/26/2015 16:00,26.66
3/27/2015 16:00,26.68
3/30/2015 16:00,26.68
3/31/2015 16:00,27.13
4/1/2015 16:00,27.13
4/2/2015 16:00,26.73
4/6/2015 16:00,27.43
4/7/2015 16:00,26.87
4/8/2015 16:00,27.13
4/9/2015 16:00,27.82
4/10/2015 16:00,28.02
4/13/2015 16:00,27.88
4/14/2015 16:00,27.72
4/15/2015 16:00,28.17
4/16/2015 16:00,28.01
4/17/2015 16:00,28.02
4/20/2015 16:00,28.26
4/21/2015 16:00,28.55
4/22/2015 16:00,29.5
4/23/2015 16:00,29.52
4/24/2015 16:00,29.2
4/27/2015 16:00,29.27
4/28/2015 16:00,28.99
4/29/2015 16:00,28.87
4/30/2015 16:00,28.13
5/1/2015 16:00,28.99
5/4/2015 16:00,28.67
5/5/2015 16:00,28.04
5/6/2015 16:00,27.99
5/7/2015 16:00,27.27
5/8/2015 16:00,27.18
5/11/2015 16:00,27.75
5/12/2015 16:00,26.87
5/13/2015 16:00,27.19
5/14/2015 16:00,26.69
5/15/2015 16:00,26.33
5/18/2015 16:00,26.76
5/19/2015 16:00,26.31
5/20/2015 16:00,26.59
5/21/2015 16:00,26.9
5/22/2015 16:00,27.33
5/26/2015 16:00,27.32
5/27/2015 16:00,28.13
5/28/2015 16:00,28.28
5/29/2015 16:00,27.93
6/1/2015 16:00,28.42
6/2/2015 16:00,27.79
6/3/2015 16:00,27.08
6/4/2015 16:00,26.99
6/5/2015 16:00,26.59
6/8/2015 16:00,25.92
6/9/2015 16:00,25.19
6/10/2015 16:00,25.19
6/11/2015 16:00,25.02
6/12/2015 16:00,25.13
6/15/2015 16:00,24.24
6/16/2015 16:00,24.24
6/17/2015 16:00,24.48
6/18/2015 16:00,24.47
6/19/2015 16:00,24.47
6/22/2015 16:00,24.63
6/23/2015 16:00,24.49
6/24/2015 16:00,24.06
6/25/2015 16:00,24.02
6/26/2015 16:00,19.66
6/29/2015 16:00,18.73
6/30/2015 16:00,18.84
7/1/2015 16:00,18.78
7/2/2015 16:00,19.07
7/6/2015 16:00,18.32
7/7/2015 16:00,18.2
7/8/2015 16:00,17.63
7/9/2015 16:00,17.15
7/10/2015 16:00,17.57
7/13/2015 16:00,17.61
7/14/2015 16:00,19.61
7/15/2015 16:00,18.89
7/16/2015 16:00,19.61
7/17/2015 16:00,20.12
7/20/2015 16:00,18.89
7/21/2015 16:00,18.88
7/22/2015 16:00,18
7/23/2015 16:00,18.7
7/24/2015 16:00,18.34
7/27/2015 16:00,18.12
7/28/2015 16:00,19.75
7/29/2015 16:00,19.87
7/30/2015 16:00,19.9
7/31/2015 16:00,18.51
8/3/2015 16:00,19
